Category,Level,Course Name,Course Desctiption,Course Code,Prerequisites,Certification,Duration
Operations,1,Respect in the Workplace,"In today's dynamic work environments, fostering respect among team members is paramount for achieving success and maintaining a solid professional reputation. Embracing the diversity of values and perspectives within your team not only leads to personal growth but also cultivates a collaborative and high-performing workforce. While the concept of respect is often instilled in us from a young age, it's equally important for adults to continuously model and reinforce respectful behaviors. Every team member bears the responsibility of treating their colleagues with respect and addressing conflicts constructively, ultimately contributing to the creation of a healthy and safe workplace. By enrolling in this course, you will gain the knowledge, skills, and confidence needed to empower your team to recognize and reinforce behaviors that positively influence workplace performance. Together, we will build a respectful and thriving work environment characterized by integrity, professionalism, and effective communication.",LE111,,,
Operations,1,Responsibility in the Workplace,"Responsibility is undeniably one of the most critical attributes to seek in an employee. Responsible employees are the driving force behind the success of any organization. This course will introduce you to the concept of responsibility and the key traits that define a responsible employee. It will explore the profound impact of having responsible employees compared to irresponsible ones. Furthermore, the course will provide a comprehensive framework for individuals to develop and enhance their sense of responsibility.",LE112,,,
Operations,1,Ten Soft Skills You Need,"Having the technical skills and knowledge to successfully execute your job duties is only one part of being the best you can be in the workplace. In addition to these “hard” skills, we also need “soft” skills. Soft skills are those skills that allow us to work with others effectively. No matter what your position, organization, or industry, you work with people! Taking the time to build effective soft skills can contribute to a more efficient, more harmonious, and more productive workplace, as well as to your overall job happiness and satisfaction.

Throughout this course, you will begin to see how important it is to develop a core set of soft skills. By managing and looking at how people interact and seeing things in a new light, you will improve in almost every aspect of your career.",LE113,,,
Operations,1,Contact Center Training,"Customers contact us for a wide variety of reasons, whether they are having a technical issue, need details on a product, or confirmation on details they have found; the approach to resolving these issues is paramount. When a customer reaches out, they want to know that the person they are speaking to is mannerable, knowledgeable, and confident in the delivery of the information so that they can trust the assistance and details they were provided with. This is why we need to ensure that we have a well-rounded staff who is trained to handle these interactions. Contact center training ensures that our agents are prepared to provide a great overall experience by helping them to develop the necessary skills and knowledge that are required in an effective customer-centric environment.",LE114,,,
Operations,1,Customer Service,"Customer service is a fundamental aspect of every professional's role, whether it's apparent or not. Regardless of your position in an organization, you are serving customers in some capacity. Whether you are on the front lines, handling direct customer interactions, or working behind the scenes, your role contributes to the satisfaction of customers. This course will explore the diverse nature of customers and equip you with the skills to serve them effectively while enhancing your own professional growth. It covers a comprehensive skill set, encompassing in-person and over-the-phone techniques, strategies for managing challenging customers, and methods for building customer loyalty.",LE115,,,
Operations,1,Customer Support,"The landscape of customer support has evolved dramatically over the years. What used to involve face-to-face interactions or phone calls has now transformed into a multifaceted digital realm encompassing the internet, websites, web chats, and smartphone apps. In the digital age, the customer experience begins long before a purchase is made. In this course you will explore the new horizons of customer support services available through the internet and provide insights into leveraging these opportunities for maximum advantage. Participants will uncover the strategies and tools to excel in this ever-changing landscape.",LE116,,,
Operations,1,How to Be an Ethical Leader,"Taking on a leadership role means more than executing smart business decisions—you also need to model ethical practices that create long-term value and sustainability. So, how do you lead with ethics at the forefront? In this course, you’ll learn why ethics matter in business and how to create a conscientious culture. Then you’ll get practical tips to help you guide and interact with employees ethically.",LE117,,,
Operations,1,Time Management Essentials - TMS,"It’s a perennial dilemma: How do we make the most of the time we have? Time is both precious and fleeting, and many of us feel like there just aren’t enough hours in the day.

This course will give you core strategies to tackle that problem. First, you’ll learn the basic principles of time management, along with some symptoms that could uncover poor uses of time. Then, you’ll discover how to track and analyze your time to boost productivity. Finally, you’ll get seven tips to start managing your time more effectively.",LE118,LE107,,
Operations,1,Workplace Professionalism,"
Workplace professionalism is an integral aspect of achieving the respect we need as leaders. It's an essential factor in establishing credibility hence trust -- which is ultimately the goal of a successful LEADER. This course will help us understand what professionalism is, the principles behind and the benefits we gain if we keep that reputable level of professional standard.",LE119,LE111,CE,
Operations,2,Call Center Fundamentals,"As new leaders, having a good understanding of how the business works can ensure effectiveness in our roles. We must learn the basics first to understand our responsibilities and the impact on the business. In this course- you will learn the components, job roles, and performance factors that make up a call center. You'll also understand the meaning of 360 support and the role each supporting department plays in ensuring the success of the call center.",LE201,,CE,
Operations,2,The Power of One,It's easy to believe that one person does not make a difference in a company with thousands of employees. Employees often underestimate the impact they have on the success of the business. This course explains how important each person is and the power they possess to improve customer satisfaction (external and internal) and enhance the company’s brand.,LE202,LE114,CE,
Operations,2,The Trust Factor,"Imagine an invisible “social glue” that enables employees to unite and cooperate to achieve the overall success of a business. When trust is absent, relationships are impacted by combative attitudes; me vs. you or us vs. them. Respect is lost, and performance is compromised as energies go into manipulation and protection; rather than working together toward a shared vision. In this course, you will learn how you, as a leader, can interact with others in ways that build trust. That includes understanding trust, how to build it by being trustworthy, and how low trust can negatively impact business relationships.",LE203,,CE,
Operations,2,Workplace Distractions: How to Avoid Common Time-Wasting Traps,"You’ve created the perfect schedule to launch a productive day at work when a small “ding” snaps you out of focus. And it’s not a one-time occurrence. Numerous distractions peck away at your attention until there’s no energy left for work. Want to wake up from this nightmare? In this course, you’ll learn to think more critically about how you’re using your attention, identify the biggest distractions, and pick up simple tricks to eliminate anything that wastes time.",LE204,,CE,
Operations,2,Time Management II,"Time management is an important component of your overall productivity in the workplace. Knowing how to manage your time can reduce stress, increase output and improve your ability to function effectively. This course is valuable for those who want to improve their productivity and provides strategies, techniques, and tips to set priorities and manage the daily pressures of meeting important and urgent commitments.",LE205,LE118,,
Operations,2,Problem Solving Fundamentals,"Have you ever known someone who seems to have an answer for any challenge? No matter what life throws their way, they take it in stride. While some people may just have a knack for it, the truth is that anyone can develop strong problem-solving skills.
In this course, you’ll start with a five-step problem-solving process anyone can use. Then, you’ll learn some strategies and behaviors to make problem-solving easier. Finally, you’ll get tips for rising above challenges and barriers that will inevitably come your way.",LE206,LE204,CE,
Operations,2,Payroll,"As leaders, we must be able to keep our employees happy and satisfied with their roles in the organization. There are several ways to influence their motivation - development, learning, and promotion but the most basic is their compensation. Hence, we must ensure the accuracy of their payroll. This course will help you understand how payroll impacts employee satisfaction, productivity, and retention. It will also provide you with steps that you can follow to ensure that your agents' payrolls are accurate, which can influence your success as a supervisor.",LE207,LE108,,
Operations,2,Accountability in the Workplace,"Accountability helps to ensure that every employee will take responsibility for their performance and behaviors, and continue to manage this responsibility. When we implement goals and communicate with one another, we can achieve powerful results. Building an accountable workplace requires strong teamwork and collaboration. Every team member must have a strong understanding of the values of the company and recognize the importance of their dedication, in order to attain success. This course will provide you with informative tools and practical strategies that can be used to help empower the team to work toward achieving the benefits of accountability. Accountable employees will fuel performance and productivity, and generate an enhanced workplace.",LE208,,CE,
Operations,2,Leadership And Influence,"Leadership potential exists within each of us. That potential can be triggered by outside events, or it can be learned by exploring ourselves from within. Once you learn the techniques of true leadership, you will be able to build the confidence it takes to take the lead. The more experience you have acting as a genuine leader, the easier it will be for you. It is never easy to take the lead, as you will need to make decisions and face challenges, but it can become natural and rewarding.",LE209,LE112 & LE102,,
Operations,2,A Blueprint for Effective Workplace Leadership,"Companies depend on great leadership for success and longevity. Leadership takes many forms and encompasses a number of characteristics. In the workplace, leaders aren’t just responsible for the bottom line. They set the tone for fair and ethical behavior, equality, accountability, professionalism, and employee growth. In this course, discover what leadership is and the qualities necessary to be a great leader. Then, learn how to engage and motivate employees in a way that aligns with the company’s vision. Finally, explore five key practices that will make you a better leader.",LE210,LE110,,
Operations,2,Becoming the Boss: A Guide for New Managers,"As a first-time manager, you likely feel a mixture of excitement and apprehension about your new role. What changes should you expect? How can you build rapport and make a good first impression with your new team? And above all, how can you become an effective boss? This guide will help you transition seamlessly from employee to manager. First, you’ll learn about your new responsibilities and the key differences between employee and manager roles. You’ll then explore the first steps every new manager should take, followed by some top tips to help you thrive. Finally, you’ll examine a few common challenges new managers face and how to overcome them.",LE211,LE103,,
Operations,2,Developing Corporate Behavior,"Developing a business environment rooted in positive values and ethics is crucial for any organization. When these qualities align with corporate standards, it sets a company apart and paves the way for leadership in its field. This course aims to help you cultivate a work environment that reflects a strong set of values and ethics. It focuses on understanding the importance of corporate behavior, aligning it with organizational standards, and fostering a culture that promotes these values. As a result, you can expect to witness tangible improvements in team building, communication, and trust. By recognizing the benefits of corporate values and ethics and implementing a successful plan, organizations can reduce incidents and achieve increased teamwork and employee loyalty.",LE212,LE106,,
Operations,3,Managing Perceptions in the Workplace,"“Perception is reality” is not only a popular phrase, it’s an accurate one as well. The way a person sees the world is their truth, regardless of whether their conclusions are factually based. In organizations, leaders are entrusted with employees whom they must work with to realize organizational objectives. Perceptions of leaders, managers, and employees shape the climate and effectiveness of the working environment. In this course, you will learn the skills that enable us to understand and manage other people's perceptions of us. What people often observe or assess as your ability to be a leader and your effectiveness becomes their perception, which in turn becomes reality.",LE301,LE209 & LE203,,
Operations,3,Managing Across Generations,"Having different generations in the workplace is common these days, and Great Leaders tap into the unique contributions of each generation to build higher-functioning teams and more rewarding environments. 

In this course, you will learn the characteristics of each generation and analyze the make-up of your team, strategize on how to adapt your communication style to influence other generations, and understand the value of targeted feedback and how to connect it to the individual.",LE302,LE210,,
Operations,3,Mindset & Accountability,"Accountability is a mindset, a way of thinking about taking responsibility for your life and ownership of your decisions. Successful professionals have a keen sense of personal accountability and possess the ability to motivate themselves and others. 

In this course, you will learn how to develop personal accountability, take ownership of your actions and understand how some very common behaviors like; making excuses and blaming others work against accountability.",LE303,LE208,,
Operations,3,A Step-by-Step Guide to Problem Solving,"When faced with an unfamiliar problem, where do you start? By assessing the issue and possible solutions? By jumping into action with the first strategy that comes to mind? Or, by simply avoiding the situation, hoping it resolves itself?

We all take different approaches to problem-solving—with varying levels of success. Although there’s no single, best approach, using a problem-solving framework can improve your results. In this course, you’ll learn a five-step approach to overcoming problems.",LE304,LE206,,
Operations,3,Tips for Successful Peer-to-Peer Training,"Peer training is a win-win. New employees learn from someone who knows the position inside and out, while existing employees develop mentoring skills and deepen their understanding of their own role. 

Do you think you might be ready to take on an exciting challenge and share what you know with a new team member? If so, this course is for you. You’ll get the real-world tips and practice you need to knock peer training out of the park.",LE305,,,
Operations,3,A Guide to Mentoring Others,"Do you enjoy helping others? Do you have the time, energy, and desire to take on a new challenge? Are you highly experienced or skilled in your field? If you answered “Yes,” to all of these questions, then you may be a good candidate for mentoring. 

Mentoring is an excellent development opportunity. While mentees benefit from the advice, guidance, and encouragement of someone more skilled, you get to develop coaching skills, increase your influence, and gain a sense of personal satisfaction from taking a protégé under your wing.",LE306,LE209,,
Operations,3,Time Management III,"Do you ever wish you had more hours in the day? While we can’t manufacture time, we can take control over how we spend it. In this course, you’ll first learn what effective time management is—and how it helps you juggle competing responsibilities and interests. Then, you’ll learn how to track, analyze, prioritize, and schedule your time so that you can maximize each day.",LE307,LE205,,
Operations,3,Self-Leadership,"Leadership is a dynamic journey, shaped by both innate qualities and acquired knowledge and skills. Whether leadership comes naturally or is cultivated through learning, one fundamental principle remains constant: we must lead ourselves before we can effectively lead others. It is essential to motivate ourselves and believe in our ability to lead. This course is designed to help participants discover the intricacies of becoming better leaders, both for themselves and others. It focuses on the vital aspect of self-leadership, emphasizing that leading oneself in positive ways is the foundation for leadership success. Through this course, participants will acquire the knowledge and strategies to guide themselves and others toward personal and professional achievement.",LE308,,,
Operations,3,Supervising Others,"Supervising others is a demanding role that requires balancing various responsibilities, including managing your own tasks, assisting team members in problem-solving, and collaborating with fellow supervisors. Time can easily slip away as you juggle these duties. This course is designed to empower you to become a more efficient and effective supervisor. It offers comprehensive guidance on essential supervisory skills, including delegation, time management, goal setting, feedback delivery, conflict resolution, and disciplinary actions. By mastering these skills, you can enhance your supervisory capabilities and lead your team to success.",LE309,,,
Operations,3,Civility In The Workplace,"In today's fast-paced and technology-driven world, the importance of workplace manners and courtesy can sometimes be overlooked. Yet, the reality is that rudeness and incivility have become a costly epidemic, impacting industries to the tune of millions of dollars each year. While society advances in terms of knowledge and technology, it often appears to lose ground in basic social values that directly affect an organization's bottom line. To address the pressing issue of incivility in the workplace, this course introduces the concept of civility, highlighting its significance for businesses. Participants will gain an understanding of the causes and effects of workplace incivility and learn essential skills for practicing civil behavior effectively. The course also explores ways in which organizations can institutionalize and promote civility within their work environment. The benefits of promoting civility in the workplace are immeasurable and translate into improved job satisfaction and performance in every aspect of one's job.",LE310,Consider LE119 (workplace professionalism),,
Operations,4,Agile Leadership,"“The goal is not to become agile; the goal is to understand how to be more agile. Agility is a result of a mindset, not a process. An enterprise will never finish ‘becoming agile’ because it will always find ways to improve its operations.” - Mike Cohn.

You will succeed as a leader if you can transform the challenges of a constantly changing situation into opportunities. Whether you are an executive, a manager, or an expert, you are in a position where Agile Leadership will help you grow and make a difference for the people around you and your organization.

This course will provide a foundation of Agile Leadership values and skills and good practices for you to apply in the real world.",LE401,,,
Operations,4,Time Management IV,"Welcome to the Time Management course. The practice of time management requires focus and conscious planning to help win back control of your busy day, and conquer financial goals. Challenges are often presented in the workplace, which can affect our ability to make optimal use of our time. However, with the help of prioritization, goal-setting, and appropriate organization of the mind and space around us, we are able to overcome time management barriers. 

This course will provide you with appropriate strategies to increase both personal and professional productivity, as well as learn to work smarter. Exceptional time management skills have a powerful effect on shaping an organized, successful business.",LE402,LE307,,
Operations,4,Advanced Problem Solving,"Exceptional problem-solvers don’t just rely on gut instinct. Rather, they’ve built up a repertoire of skills, strategies, and processes, along with the ability to identify which problem-solving approach—or combination of approaches—will work best to navigate a given situation. In other words, being able to solve problems isn’t a natural talent—it’s a skill that anyone can learn. In this course, we’ll focus on sharpening problem-solving skills to help you deal with challenges big and small. Whether you’re new to problem-solving or just want to improve your skills, this course is packed with valuable information and proven strategies that will set you up for success. We’ll cover topics like divergent and convergent thinking, the benefits and risks of using heuristics in problem-solving, how to reframe problems to find creative solutions, and how to use design thinking to take a human-centered approach to solving complicated problems.",LE403,LE304,,
Operations,4,The Secrets of Skilled Delegation,"When you think of a leader, who do you imagine? Chances are, it’s someone who knows the difference between doing and leading. Great leaders strategically guide the team’s work—they don’t do the team’s work. That’s where delegation comes in. Delegation is assigning responsibility for specific activities to others. In this course, you’ll learn why you should delegate, how to do it, how to select the right people for the job, and how to get out of the way so they can complete their assignments. Using delegation effectively is an essential skill for team leaders.",LE404,,,
Operations,4,Middle Manager,"Traditionally, middle managers constitute the largest managerial layer in any organization. These middle managers play a crucial role as the bridge between upper-level management and front-line employees. They are responsible for leading various departments and projects, making them essential to the smooth operation of a company. For an organization to thrive, middle managers must be deeply committed to its goals and adept at translating those objectives into effective execution. This course highlights the pivotal role of middle managers within an organization. It emphasizes the significance of middle managers being aligned with the organization's goals and understanding their role in its success. No matter the size or structure of the organization, well-trained middle managers are indispensable. Their extensive communication and influence throughout the organization make their understanding of their role essential.",LE405,,,
Operations,4,Office Politics For Managers,"Office politics is a common facet of the workplace, stemming from the interaction of diverse personalities, opinions, backgrounds, and values. Navigating these dynamics can be a challenge in any environment. When people work together, clashes are inevitable, and effective teamwork becomes paramount for organizational and individual success. This course centers around the concept of office politics, not as a negative force, but as a means to create and maintain better workplace relationships. It emphasizes the importance of effective communication and collaboration among peers and colleagues to achieve mutually beneficial outcomes. Participants will learn how understanding and engaging in the positive aspects of office politics can enhance their role as team members, leading to increased success and productivity.",LE406,,,
Operations,4,Unconscious Bias,"Unconscious biases are an inherent part of the human psyche, residing in the deepest recesses of our minds, often without our awareness. These biases, rooted in individual experiences and societal influences, can significantly impact the day-to-day decisions made in personal and professional settings. This course is designed to introduce you to the concepts and techniques for recognizing and understanding various unconscious biases. It will shed light on how these biases can affect the culture and business practices of a company. You will gain insights into the significance of addressing unconscious biases and learn strategies to manage and mitigate their impact on decision-making.",LE407,LE301,,
Operations,4,Talent Management,"Every organization aspires to have a workforce of exceptional talent and capabilities, and Talent Management is the cornerstone of achieving this goal. Given that a company's workforce is often its most significant cost, investing in talent management becomes a strategic imperative. Talent management involves developing a more skilled workforce, and it also plays a crucial role in attracting top-tier talent to the organization.

This course is designed to emphasize the importance of recruiting the right individuals and retaining a talented workforce as a top priority. Having a skilled and high-performing team has always been a key driver of organizational success, directly translating into enhanced performance and heightened productivity. Talent management is an invaluable investment that has paid dividends over the years.",LE408,,,
Operations,4,Knowledge Management,"Knowledge management, as defined by the Encarta Dictionary, is the systematic organization of intellectual resources and information systems within a business environment. While this definition may seem straightforward, it's essential to consider the vast amount of knowledge residing in the minds of every individual within an organization. 

In today's fast-paced and information-rich world, effective knowledge management is paramount for the success of organizations. Knowledge management involves systematically capturing, organizing, and leveraging the intellectual assets within an organization. It ensures that knowledge is shared, accessible, and utilized for decision-making, problem-solving, and innovation.

This course is designed to provide you with a foundational understanding of knowledge management concepts, principles, and best practices. You will learn how to create and maintain a knowledge-sharing culture, implement knowledge management tools and techniques, and harness the power of organizational knowledge for improved performance and competitiveness.",LE409,,,
Operations,4,Manager Management,"Being a successful manager requires a multifaceted skill set that encompasses leadership, motivation, problem-solving, and effective team management. This course is designed to empower you with the skills, guidance, and tools needed to lead, motivate, and empower your team of managers. The ultimate goal is to enhance their ability to produce outstanding results and foster a culture of leadership within the organization.

Manager Management requires a unique set of leadership skills. This course seeks to expand your knowledge and capabilities, enabling you to mentor and lead both new and experienced managers effectively. You will gain insights into the principles and practices of successful manager management and leadership development.",LE410,,,
Operations,4,Leading Through Difficult Times,"Data breaches, natural disasters, and workplace violence are just a few of the risks businesses face. Crises like these can throw a company into chaos, threaten public and employee safety, and more. While predicting a crisis is nearly impossible, you can take steps to prepare for, mitigate, and navigate the most likely risks. In this course, you'll learn how to lead through difficult times using crisis management. You'll get an in-depth look at each stage of crisis management, including the critical steps you should take before, during, and after a crisis.",LE411,,,
Operations,5,How Great Leaders Solve Problems,"Leaders wear many hats in the workplace—coach, facilitator, and strategist are just a few. But when it comes to meeting goals and objectives, a problem-solver is one of their most important roles. As problem-solvers, effective leaders take proactive measures to avoid issues, address them when they arise, and keep their teams moving forward. A good leader possesses strong problem-solving skills, but a great leader also develops these skills in employees. They also foster a work environment that elicits creative solutions from their teams. So, what skills and strategies do effective leaders employ when facing workplace problems? In this course, you’ll learn the fundamentals of problem prevention, detection, and resolution. You’ll also learn how to solve problems more effectively as a team by communicating effectively, facilitating creative brainstorming, and removing barriers.",LE501,LE403,,
Operations,5,Crisis Management,"The phone rings. An explosion has ripped through one of your manufacturing plants. Two people have been killed, and a dozen others are injured. The media have picked up the story, and reporters are already on site. 

So, what do you do? How do you respond? How will you move to minimize the damage and take control of the situation? How do you lead others through a crisis—and land on your feet? 

This course will help. You'll learn to prepare for, and potentially prevent, crises before they occur. And, if disaster does strike, you'll get tools to help you respond and recover.",LE502,LE415,,
Communication Skills,1,Active Listening,"Effective communication is at the heart of successful personal and professional relationships. Active listening, a critical component of effective communication, enables individuals to truly understand and connect with others. This course is designed to provide you with the essential skills and techniques to become a proficient active listener and enhance your overall communication abilities.

You will learn the principles of active listening, including empathetic listening, nonverbal communication, and effective questioning. You will be equipped with practical tools to improve your listening skills and establish a foundation for meaningful and productive communication in various contexts.",CS101,,,
Communication Skills,1,Are you listening (video version),"Explore how to build crucial active listening skills. 

You will learn how to commit to a conversation, gain a strong insight into how to ask the right questions to obtain clarity and gain effective tips that help to avoid interrupting or taking over the conversation.",CS103,,,
Communication Skills,1,Communication Fundamentals,"You’re unlikely to see a job description without these words: “Must have excellent communication skills.” But have you ever found yourself wondering what that means—or how to demonstrate you’re a good communicator? In this course, you’ll learn how to; define communication, the types of communication we use at work, choose the right delivery method for your message and remove barriers to having it understood.",CS104,,,
Communication Skills,1,The 7 C's of Effective Communication,Develop a strong understanding of key communication principles and explore good and bad examples for each. You'll study these key principles for written and spoken communication.,CS105,,,
Communication Skills,1,Non-verbal Communication,"Have you ever wished you knew the thoughts of someone when they are talking? We only use 7% of our communication as words! The other 93% is our non-verbal communication. And learning to recognize the depths of this skill will empower you to learn to read the thoughts of others when they speak. In this course, you will understand the effects nonverbal communication has on human interactions, differentiate between verbal and nonverbal communication, and know what message your nonverbal communication is sending to others at all times.",CS106,,,
Communication Skills,1,Workplace Communication Basics,"What do most great employees have in common? Stellar communication skills. In this course, you'll learn why having excellent communication skills is so important in the workplace, and how you can improve yours.",CS107,,,
Communication Skills,1,Effective Written Communication,"Effective written communication is essential in the modern workplace. The ability of an individual to communicate clearly and concisely reflects well, not only on the writer but on the organization they represent. In this course, you will learn: the Writing Process (planning, writing, and revising), analyze your audience and select the appropriate medium, and write clear and concise messages using correct grammar and punctuation.",CS108,,,
Communication Skills,1,Interpersonal Skills,"We've all encountered individuals who exude charisma and have an innate ability to leave a lasting impression. This course is designed to help you become that unforgettable person by developing effective communication and networking skills. From crafting powerful introductions to remembering names and managing situations when names slip our memory, you will be equipped with the tools to make a memorable impact on others. The course covers various aspects of communication skills, negotiation techniques, and the art of networking. You will learn how to initiate and maintain meaningful conversations, make a lasting impact, and create valuable relationships. Also, focusing on mastering the skills needed to start conversations, progress to deeper levels of dialogue, and navigate professional interactions with ease.",CS109,,,
Communication Skills,1,Telephone Etiquette,"There is a proverb that goes “First impressions are the most lasting”. What this means is that people are more likely to remember the initial encounter or interaction that they experienced with someone or a situation; whether it was positive or negative. Those who have had a negative experience, especially when interacting with a company are usually the most vocal about the experience. In most instances, we find that this first interaction tends to be a conversation over the phone. Phone etiquette is an important part of establishing a strong connection with one’s customer base, clients, and potential business partners. This means that having good phone etiquette plays a large part in maintaining strong relationships and ensuring that professionalism is always exemplified by members of staff.",CS110,,,
Communication Skills,1,Customer Communication Essentials,"Expert communication skills and exceptional customer support go hand-in-hand. Whether you’re answering questions, resolving problems, or developing rapport with customers—a positive experience starts with friendly, empathetic, and effective communication. In this course, learn how to improve the customer experience by becoming a better listener and communicator. Some specific skills you’ll develop include: starting and ending customer conversations, listening to understand customers and identify their needs, and providing empathetic and personalized support. At the end of the course, practice everything you’ve learned with a real-world customer scenario.",CS111,,,
Communication Skills,1,Improve Your Business Writing Skills,"In the workplace, solid writing skills can play a significant role in your career success. Whether you’re catching up with a coworker, pitching an idea to your boss, or building a relationship with a new client, the quality of your writing can make the difference between a positive and negative impression. 

So, how do you avoid disorganized, confusing, and ambiguous writing? How do you keep your work focused, clear, and relatable? And what separates passable writing from excellent writing? 

In this course, you’ll learn quick self-checks to improve your business writing.",CS112,,,
Communication Skills,2,How to Have a Difficult Conversation,"No one loves having a difficult conversation at work—but most of us have had to do it. Because it’s so common, knowing how to navigate a sensitive discussion effectively is essential. Whether you need to confront a coworker, give an employee bad news, or discuss a delicate issue with your boss, you will learn a four-step process to help you have that difficult conversation. You’ll also learn what to do before, during, and after your discussion to confidently engage your teammates, reach a place of mutual understanding, and overcome issues in the workplace.",CS201,,,
Communication Skills,2,Understanding the DISC Behavioural Model,"The DISC Behavioral Model is a powerful tool for gaining insights into human behavior, communication styles, and interpersonal interactions. This course is designed to provide you with a comprehensive understanding of the DISC model, enabling you to recognize and leverage the various behavioral profiles in both personal and professional settings. You will explore the four primary DISC personality styles: Dominance, Influence, Steadiness, and Conscientiousness. You will learn to identify these styles in yourself and others and understand how different styles communicate, make decisions, and interact with their environment. The course will equip you with the skills to improve communication, resolve conflicts, and build more effective relationships based on an understanding of behavioral preferences.",CS202,,,
Communication Skills,2,How to Work Effectively With Different Communication Styles,"Everyone communicates differently. Some people take a collaborative approach to their work and like to discuss ideas or talk through issues with colleagues. Others simply want the facts and communicate to produce results.

Understanding different communication styles is crucial to working together effectively. In this course, you'll learn four communication styles, how to identify each, and how to adapt your own communication approach.",CS203,CS202,,
